node_id,node_title,first_module_id,first_week,last_module_id,last_week,module_sequence_json,assessment_sequence_json,coverage_modes_json,node_outputs_json
community.local-resource-map,"Map Local Skills, Tools, Sources, and Shared Assets",module.11-backup-power-and-local-resource-map,11,module.11-backup-power-and-local-resource-map,11,"[""module.11-backup-power-and-local-resource-map""]","[""assessment.module.11""]","[{""module_id"": ""module.11-backup-power-and-local-resource-map"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""local resource map"", ""contact and capability list"", ""sharing protocol notes""]"
community.teach-forward-session,Deliver a Teach-Forward Session,module.12-capstone-teach-forward,12,module.12-capstone-teach-forward,12,"[""module.12-capstone-teach-forward""]","[""assessment.module.12""]","[{""module_id"": ""module.12-capstone-teach-forward"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""lesson plan"", ""one-page handout"", ""micro-session notes""]"
food.beginner-garden-system,Plan a Beginner Garden System,module.06-seed-starting-and-garden-planning,6,module.06-seed-starting-and-garden-planning,6,"[""module.06-seed-starting-and-garden-planning""]","[""assessment.module.06""]","[{""module_id"": ""module.06-seed-starting-and-garden-planning"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""garden layout"", ""crop plan"", ""care calendar""]"
food.pantry-design,Design a Functional Household Pantry,module.05-pantry-rotation-and-preservation,5,module.05-pantry-rotation-and-preservation,5,"[""module.05-pantry-rotation-and-preservation""]","[""assessment.module.05""]","[{""module_id"": ""module.05-pantry-rotation-and-preservation"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""pantry map"", ""shopping gap list"", ""category labels""]"
food.pantry-rotation,Rotate and Replenish Pantry Stock,module.05-pantry-rotation-and-preservation,5,module.05-pantry-rotation-and-preservation,5,"[""module.05-pantry-rotation-and-preservation""]","[""assessment.module.05""]","[{""module_id"": ""module.05-pantry-rotation-and-preservation"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""secondary""}]","[""rotation sheet"", ""reorder cadence""]"
food.safe-preservation-basics,Understand Safe Food Preservation Boundaries,module.05-pantry-rotation-and-preservation,5,module.05-pantry-rotation-and-preservation,5,"[""module.05-pantry-rotation-and-preservation""]","[""assessment.module.05""]","[{""module_id"": ""module.05-pantry-rotation-and-preservation"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""secondary""}]","[""preservation safety card""]"
food.seed-starting,Start Seeds Reliably,module.06-seed-starting-and-garden-planning,6,module.06-seed-starting-and-garden-planning,6,"[""module.06-seed-starting-and-garden-planning""]","[""assessment.module.06""]","[{""module_id"": ""module.06-seed-starting-and-garden-planning"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""secondary""}]","[""seed-start log"", ""germination setup""]"
foundation.ai-grounded-research,Use AI for Grounded Research and Synthesis,module.01-truth-tools-and-ai,1,module.01-truth-tools-and-ai,1,"[""module.01-truth-tools-and-ai""]","[""assessment.module.01""]","[{""module_id"": ""module.01-truth-tools-and-ai"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""prompt pack"", ""source comparison brief""]"
foundation.household-resilience-inventory,Build a Household Resilience Inventory,module.02-measure-map-and-inventory,2,module.02-measure-map-and-inventory,2,"[""module.02-measure-map-and-inventory""]","[""assessment.module.02""]","[{""module_id"": ""module.02-measure-map-and-inventory"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""household inventory sheet"", ""priority gap list""]"
foundation.measurement-and-units,Measurement and Units for Practical Work,module.02-measure-map-and-inventory,2,module.02-measure-map-and-inventory,2,"[""module.02-measure-map-and-inventory""]","[""assessment.module.02""]","[{""module_id"": ""module.02-measure-map-and-inventory"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""secondary""}]","[""units cheat sheet"", ""conversion table""]"
foundation.systems-mapping,Map Household and Community Systems,module.02-measure-map-and-inventory,2,module.02-measure-map-and-inventory,2,"[""module.02-measure-map-and-inventory""]","[""assessment.module.02""]","[{""module_id"": ""module.02-measure-map-and-inventory"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""secondary""}]","[""household systems map"", ""dependency list""]"
foundation.verify-and-cite,Verify and Cite Practical Claims,module.01-truth-tools-and-ai,1,module.01-truth-tools-and-ai,1,"[""module.01-truth-tools-and-ai""]","[""assessment.module.01""]","[{""module_id"": ""module.01-truth-tools-and-ai"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""claim-check worksheet"", ""source comparison note""]"
power.backup-power-plan,Draft a Tiered Backup Power Plan,module.11-backup-power-and-local-resource-map,11,module.11-backup-power-and-local-resource-map,11,"[""module.11-backup-power-and-local-resource-map""]","[""assessment.module.11""]","[{""module_id"": ""module.11-backup-power-and-local-resource-map"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""backup power plan"", ""budget-tier comparison"", ""decision log""]"
power.circuit-basics,Understand Basic Circuits and Household Loads,module.09-circuit-basics-and-label-reading,9,module.09-circuit-basics-and-label-reading,9,"[""module.09-circuit-basics-and-label-reading""]","[""assessment.module.09""]","[{""module_id"": ""module.09-circuit-basics-and-label-reading"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""power formula card"", ""device label notes""]"
power.load-audit,Run a Critical Loads Audit,module.10-load-audit-and-runtime,10,module.10-load-audit-and-runtime,10,"[""module.10-load-audit-and-runtime""]","[""assessment.module.10""]","[{""module_id"": ""module.10-load-audit-and-runtime"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""load sheet"", ""critical load tiers"", ""device inventory""]"
power.runtime-calculation,Estimate Runtime from Stored or Generated Power,module.10-load-audit-and-runtime,10,module.10-load-audit-and-runtime,10,"[""module.10-load-audit-and-runtime""]","[""assessment.module.10""]","[{""module_id"": ""module.10-load-audit-and-runtime"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""runtime table"", ""assumption notes""]"
repair.hand-tool-literacy,Use Essential Hand Tools Confidently,module.08-moisture-tools-shutoffs-and-patching,8,module.08-moisture-tools-shutoffs-and-patching,8,"[""module.08-moisture-tools-shutoffs-and-patching""]","[""assessment.module.08""]","[{""module_id"": ""module.08-moisture-tools-shutoffs-and-patching"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""secondary""}]","[""tool competency checklist"", ""starter tool list""]"
repair.shutoffs-seals-and-patches,"Locate Shutoffs, Seal Gaps, and Make Minor Temporary Repairs",module.08-moisture-tools-shutoffs-and-patching,8,module.08-moisture-tools-shutoffs-and-patching,8,"[""module.08-moisture-tools-shutoffs-and-patching""]","[""assessment.module.08""]","[{""module_id"": ""module.08-moisture-tools-shutoffs-and-patching"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""shutoff map"", ""patch kit list"", ""temporary repair notes""]"
shelter.building-envelope,Understand the Building Envelope,module.07-envelope-and-weatherization,7,module.07-envelope-and-weatherization,7,"[""module.07-envelope-and-weatherization""]","[""assessment.module.07""]","[{""module_id"": ""module.07-envelope-and-weatherization"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""secondary""}]","[""building-envelope diagram"", ""heat-loss note""]"
shelter.moisture-and-mold-control,Control Moisture and Interrupt Mold Conditions,module.08-moisture-tools-shutoffs-and-patching,8,module.08-moisture-tools-shutoffs-and-patching,8,"[""module.08-moisture-tools-shutoffs-and-patching""]","[""assessment.module.08""]","[{""module_id"": ""module.08-moisture-tools-shutoffs-and-patching"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""secondary""}]","[""moisture checklist"", ""source map"", ""response plan""]"
shelter.weatherization-audit,Run a Basic Weatherization Audit,module.07-envelope-and-weatherization,7,module.07-envelope-and-weatherization,7,"[""module.07-envelope-and-weatherization""]","[""assessment.module.07""]","[{""module_id"": ""module.07-envelope-and-weatherization"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""weatherization audit"", ""priority fix list"", ""room-by-room notes""]"
water.basic-testing,Run Basic Household Water Checks and Tests,module.04-water-testing-and-planning,4,module.04-water-testing-and-planning,4,"[""module.04-water-testing-and-planning""]","[""assessment.module.04""]","[{""module_id"": ""module.04-water-testing-and-planning"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""secondary""}]","[""water test log""]"
water.household-water-plan,Build a 72-Hour and 2-Week Household Water Plan,module.04-water-testing-and-planning,4,module.04-water-testing-and-planning,4,"[""module.04-water-testing-and-planning""]","[""assessment.module.04""]","[{""module_id"": ""module.04-water-testing-and-planning"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""household water plan"", ""water source and storage map"", ""retest schedule""]"
water.safe-storage,Store Potable Water Safely,module.03-water-storage-and-treatment,3,module.03-water-storage-and-treatment,3,"[""module.03-water-storage-and-treatment""]","[""assessment.module.03""]","[{""module_id"": ""module.03-water-storage-and-treatment"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""storage table"", ""container label set""]"
water.treatment-selection,Select an Appropriate Water Treatment Method,module.03-water-storage-and-treatment,3,module.03-water-storage-and-treatment,3,"[""module.03-water-storage-and-treatment""]","[""assessment.module.03""]","[{""module_id"": ""module.03-water-storage-and-treatment"", ""coverage_mode"": ""introduce"", ""coverage_weight"": ""primary""}]","[""treatment decision matrix""]"
