node_id,type,payload_json
module.01-truth-tools-and-ai,module,"{""week"": 1, ""node_refs"": [""foundation.verify-and-cite"", ""foundation.ai-grounded-research""], ""learning_objectives"": [""Evaluate a practical claim using source quality, date, evidence, and local applicability."", ""Use AI to summarize, compare, and critique sources without outsourcing judgment."", ""Produce a claim-check worksheet and a short cited recommendation note.""], ""seminar_outline"": [""Why bad decisions often start with unexamined claims"", ""Source types: primary, secondary, synthetic, anecdotal"", ""AI as translator, comparator, and critique partner"", ""Decision logging with citations and local constraints""], ""lab"": ""Compare one practical claim across at least three sources and document the result with a citation trail and clear action recommendation."", ""field_task"": ""Run the claim-check workflow on one household resilience question you currently care about and save the result for later modules."", ""teach_forward_task"": ""Teach another person the four-part claim check: who said it, when, with what evidence, and under what local conditions it applies."", ""deliverable_refs"": [""claim-check worksheet"", ""source comparison note"", ""prompt pack"", ""source comparison brief""], ""assessment_ref"": ""assessment.module.01"", ""delivery_profile"": {""seminar_minutes"": 75, ""lab_minutes"": 90, ""field_task_minutes"": 60, ""teach_forward_minutes"": 15}}"
module.02-measure-map-and-inventory,module,"{""week"": 2, ""node_refs"": [""foundation.measurement-and-units"", ""foundation.systems-mapping"", ""foundation.household-resilience-inventory""], ""learning_objectives"": [""Choose and convert the units needed for common household calculations."", ""Map inputs, outputs, dependencies, and failure points in a household system."", ""Create a baseline resilience inventory covering needs, tools, contacts, and gaps.""], ""seminar_outline"": [""Units as the language of planning"", ""System boundaries, dependencies, and failure points"", ""From inventory to priority setting"", ""How this baseline supports every later module""], ""lab"": ""Build a simple conversion sheet, sketch one household system, and turn the results into an initial resilience inventory."", ""field_task"": ""Complete a household resilience inventory covering water, food, power, heat, tools, contacts, and the most obvious vulnerabilities."", ""teach_forward_task"": ""Explain one system map to another household member and identify the first two weak links you both agree on."", ""deliverable_refs"": [""units cheat sheet"", ""conversion table"", ""household systems map"", ""dependency list"", ""household inventory sheet"", ""priority gap list""], ""assessment_ref"": ""assessment.module.02"", ""delivery_profile"": {""seminar_minutes"": 75, ""lab_minutes"": 90, ""field_task_minutes"": 75, ""teach_forward_minutes"": 15}}"
module.03-water-storage-and-treatment,module,"{""week"": 3, ""node_refs"": [""water.safe-storage"", ""water.treatment-selection""], ""learning_objectives"": [""Calculate daily and short-horizon household water needs in comparable units."", ""Compare treatment methods by source conditions, speed, cost, and limitations."", ""Build a practical storage table and treatment decision matrix for your context.""], ""seminar_outline"": [""How much water households actually need"", ""Storage intervals, containers, labeling, and rotation"", ""Treatment methods and where each does or does not fit"", ""Decision-making under cost and source constraints""], ""lab"": ""Estimate daily water demand, compare treatment options, and draft a storage table plus treatment decision matrix."", ""field_task"": ""Label current storage, identify the next storage increase that is feasible this month, and document the treatment path you would use for at least two source scenarios."", ""teach_forward_task"": ""Show another person how to read your treatment decision matrix and explain why one method is not universal."", ""deliverable_refs"": [""storage table"", ""container label set"", ""treatment decision matrix""], ""assessment_ref"": ""assessment.module.03"", ""delivery_profile"": {""seminar_minutes"": 70, ""lab_minutes"": 80, ""field_task_minutes"": 70, ""teach_forward_minutes"": 10}}"
module.04-water-testing-and-planning,module,"{""week"": 4, ""node_refs"": [""water.basic-testing"", ""water.household-water-plan""], ""learning_objectives"": [""Run basic water testing or inspection steps and record the results clearly."", ""Convert storage, source, and treatment choices into a household water plan."", ""Explain when a plan should be retested, expanded, or revised.""], ""seminar_outline"": [""What basic household water tests can and cannot tell you"", ""Logging results, assumptions, and retest intervals"", ""Building 72-hour and 2-week water plans"", ""Source diversity, redundancy, and revision triggers""], ""lab"": ""Complete a sample test log and use it to draft a household water plan with source, storage, and retest assumptions."", ""field_task"": ""Create a 72-hour and 2-week household water plan using your actual storage, likely sources, and one retest schedule."", ""teach_forward_task"": ""Walk another person through your water plan and have them identify one assumption they would verify before relying on it."", ""deliverable_refs"": [""water test log"", ""household water plan"", ""water source and storage map"", ""retest schedule""], ""assessment_ref"": ""assessment.module.04"", ""delivery_profile"": {""seminar_minutes"": 70, ""lab_minutes"": 90, ""field_task_minutes"": 75, ""teach_forward_minutes"": 15}}"
module.05-pantry-rotation-and-preservation,module,"{""week"": 5, ""node_refs"": [""food.pantry-design"", ""food.pantry-rotation"", ""food.safe-preservation-basics""], ""learning_objectives"": [""Design a pantry layout around household needs, constraints, and likely gaps."", ""Set up a rotation and reorder cadence that prevents hidden waste."", ""Explain the safety boundaries of common preservation methods in plain language.""], ""seminar_outline"": [""Pantry design as a planning problem, not a shopping spree"", ""Shelf life, labeling, and reorder cadence"", ""Safe boundaries for freezing, drying, fermenting, and canning decisions"", ""Low-cost pantry improvements that matter first""], ""lab"": ""Sort foods by category and shelf life, draft a pantry map, and build a simple rotation sheet plus preservation safety card."", ""field_task"": ""Map your pantry, label one rotation cycle, and document one low-cost improvement you can make immediately."", ""teach_forward_task"": ""Show another person how your pantry rotation works and explain one preservation method you would not improvise."", ""deliverable_refs"": [""pantry map"", ""shopping gap list"", ""category labels"", ""rotation sheet"", ""reorder cadence"", ""preservation safety card""], ""assessment_ref"": ""assessment.module.05"", ""delivery_profile"": {""seminar_minutes"": 75, ""lab_minutes"": 90, ""field_task_minutes"": 75, ""teach_forward_minutes"": 15}}"
module.06-seed-starting-and-garden-planning,module,"{""week"": 6, ""node_refs"": [""food.seed-starting"", ""food.beginner-garden-system""], ""learning_objectives"": [""Start seeds with workable timing, medium, light, and moisture conditions."", ""Plan a small bed or container garden around space, season, and care capacity."", ""Translate garden goals into a layout, crop plan, and simple care calendar.""], ""seminar_outline"": [""What makes early garden attempts fail"", ""Seed starting setup, moisture, light, and timing"", ""Beds versus containers, crop choice, and season planning"", ""Designing for reliability instead of maximal ambition""], ""lab"": ""Build or simulate a germination setup and sketch a garden layout with crop timing and care needs."", ""field_task"": ""Start at least one crop or complete a full container or bed plan with dates, spacing, and care calendar entries."", ""teach_forward_task"": ""Explain your crop plan to another person and have them identify whether the plan matches your actual time and space."", ""deliverable_refs"": [""seed-start log"", ""germination setup"", ""garden layout"", ""crop plan"", ""care calendar""], ""assessment_ref"": ""assessment.module.06"", ""delivery_profile"": {""seminar_minutes"": 70, ""lab_minutes"": 90, ""field_task_minutes"": 90, ""teach_forward_minutes"": 15}}"
module.07-envelope-and-weatherization,module,"{""week"": 7, ""node_refs"": [""shelter.building-envelope"", ""shelter.weatherization-audit""], ""learning_objectives"": [""Explain the basic relationship between heat flow, air leakage, and the building envelope."", ""Inspect a space for likely weatherization priorities using a repeatable audit method."", ""Rank fixes by impact, effort, and constraints.""], ""seminar_outline"": [""Heat, air, moisture, and why comfort is not one variable"", ""Where buildings commonly leak or lose performance"", ""Audit methods and prioritizing fixes"", ""Temporary versus durable weatherization choices""], ""lab"": ""Use a room-by-room worksheet to identify likely leakage points and draft a weatherization priority list."", ""field_task"": ""Complete a weatherization audit for one dwelling or one zone of a dwelling and record the first fixes worth testing."", ""teach_forward_task"": ""Walk another person through one room and explain what you would improve first and why."", ""deliverable_refs"": [""building-envelope diagram"", ""heat-loss note"", ""weatherization audit"", ""priority fix list"", ""room-by-room notes""], ""assessment_ref"": ""assessment.module.07"", ""delivery_profile"": {""seminar_minutes"": 75, ""lab_minutes"": 90, ""field_task_minutes"": 75, ""teach_forward_minutes"": 10}}"
module.08-moisture-tools-shutoffs-and-patching,module,"{""week"": 8, ""node_refs"": [""shelter.moisture-and-mold-control"", ""repair.hand-tool-literacy"", ""repair.shutoffs-seals-and-patches""], ""learning_objectives"": [""Identify common moisture sources and conditions that make mold more likely."", ""Use basic hand tools and household shutoffs with confidence and documentation."", ""Make simple seals, patches, and temporary repairs while recording what still needs a durable fix.""], ""seminar_outline"": [""Moisture sources, hidden persistence, and mold conditions"", ""Tool literacy as controlled, observable practice"", ""Shutoffs, leak response, and temporary fixes"", ""Documentation habits that make repair safer and repeatable""], ""lab"": ""Practice tool handling, locate shutoffs, and prepare a patch kit and response checklist for one likely household issue."", ""field_task"": ""Create a shutoff map, document one moisture source or risk area, and complete one seal or temporary patch that is appropriate for your space."", ""teach_forward_task"": ""Show another person where the key shutoffs are and what your first three actions would be in a small leak event."", ""deliverable_refs"": [""moisture checklist"", ""source map"", ""response plan"", ""tool competency checklist"", ""starter tool list"", ""shutoff map"", ""patch kit list"", ""temporary repair notes""], ""assessment_ref"": ""assessment.module.08"", ""delivery_profile"": {""seminar_minutes"": 70, ""lab_minutes"": 90, ""field_task_minutes"": 90, ""teach_forward_minutes"": 15}}"
module.09-circuit-basics-and-label-reading,module,"{""week"": 9, ""node_refs"": [""power.circuit-basics""], ""learning_objectives"": [""Differentiate volts, amps, watts, and watt-hours in plain language."", ""Read device labels and identify what information matters for planning."", ""Explain why breaker limits, startup surges, and real-world usage complicate simple guesses.""], ""seminar_outline"": [""Power versus energy and why the distinction matters"", ""What device labels show and what they omit"", ""Circuit limits, startup surge, and duty cycle"", ""Common beginner mistakes in electrical planning""], ""lab"": ""Read labels from several devices, convert the numbers into comparable terms, and build a power formula card for later modules."", ""field_task"": ""Record labels for your most important devices and note any missing information or assumptions you still need to verify."", ""teach_forward_task"": ""Explain watts versus watt-hours to another person using one of your household devices as the example."", ""deliverable_refs"": [""power formula card"", ""device label notes""], ""assessment_ref"": ""assessment.module.09"", ""delivery_profile"": {""seminar_minutes"": 70, ""lab_minutes"": 75, ""field_task_minutes"": 60, ""teach_forward_minutes"": 15}}"
module.10-load-audit-and-runtime,module,"{""week"": 10, ""node_refs"": [""power.load-audit"", ""power.runtime-calculation""], ""learning_objectives"": [""Separate essential, important, and optional loads for different outage durations."", ""Estimate runtime using consistent units, duty cycle, and efficiency assumptions."", ""Document the assumptions that most change your answer.""], ""seminar_outline"": [""Critical load thinking instead of whole-house fantasy"", ""Duty cycle, startup surge, and efficiency loss"", ""Runtime calculations with consistent units"", ""Recording assumptions and planning margins""], ""lab"": ""Create a critical load sheet and calculate runtime for at least two outage scenarios using one assumed power source."", ""field_task"": ""Audit your actual priority devices, assign outage tiers, and complete a runtime table that another person could read."", ""teach_forward_task"": ""Show another person how one incorrect assumption can make a backup plan fail and point to where you documented yours."", ""deliverable_refs"": [""load sheet"", ""critical load tiers"", ""device inventory"", ""runtime table"", ""assumption notes""], ""assessment_ref"": ""assessment.module.10"", ""delivery_profile"": {""seminar_minutes"": 70, ""lab_minutes"": 90, ""field_task_minutes"": 75, ""teach_forward_minutes"": 15}}"
module.11-backup-power-and-local-resource-map,module,"{""week"": 11, ""node_refs"": [""power.backup-power-plan"", ""community.local-resource-map""], ""learning_objectives"": [""Draft low-, mid-, and high-budget backup options matched to critical loads and runtime goals."", ""Compare backup options by capability, burden, and local constraints."", ""Map local skills, tools, spaces, and sources that matter during normal times and disruptions.""], ""seminar_outline"": [""Tiered backup planning instead of one-shot ideal purchases"", ""Tradeoffs: cost, maintenance, storage, fuel, noise, and constraints"", ""What belongs on a local resource map"", ""Privacy, permission, and useful coordination notes""], ""lab"": ""Build a budget-tier comparison for backup options and sketch a first-pass local resource map with contacts and capabilities."", ""field_task"": ""Complete one backup power plan and one local resource map using actual local constraints, contacts, and likely outage priorities."", ""teach_forward_task"": ""Explain to another person why your preferred backup tier fits your situation and point out two nearby resources that reduce isolation."", ""deliverable_refs"": [""backup power plan"", ""budget-tier comparison"", ""decision log"", ""local resource map"", ""contact and capability list"", ""sharing protocol notes""], ""assessment_ref"": ""assessment.module.11"", ""delivery_profile"": {""seminar_minutes"": 75, ""lab_minutes"": 90, ""field_task_minutes"": 90, ""teach_forward_minutes"": 15}}"
module.12-capstone-teach-forward,module,"{""week"": 12, ""node_refs"": [""community.teach-forward-session""], ""learning_objectives"": [""Turn one completed capability into a short lesson with a clear promise, steps, and artifact."", ""Translate technical language into terms a general audience can follow."", ""Leave behind a handout, checklist, or map that remains useful without the instructor present.""], ""seminar_outline"": [""Why knowledge transfer is part of capability, not an optional extra"", ""Compressing a lesson into 3-minute and 10-minute forms"", ""Designing a handout that survives without the teacher"", ""Capturing revision notes for the next cohort""], ""lab"": ""Draft a 10–20 minute lesson plan, build a one-page handout, and rehearse the session with timing and feedback."", ""field_task"": ""Deliver a short teach-forward session or record a rehearsal, then revise the lesson based on the clarity gaps you notice."", ""teach_forward_task"": ""This module is itself the teach-forward action; gather one piece of feedback and use it to improve the handout or lesson sequence."", ""deliverable_refs"": [""lesson plan"", ""one-page handout"", ""micro-session notes""], ""assessment_ref"": ""assessment.module.12"", ""delivery_profile"": {""seminar_minutes"": 60, ""lab_minutes"": 90, ""field_task_minutes"": 90, ""teach_forward_minutes"": 30}}"
assessment.module.01,assessment,"{""assessment_type"": ""portfolio_review"", ""rubric"": [""Required artifacts are complete, legible, and usable by another person."", ""The learner can explain the key decisions, assumptions, and tradeoffs in plain language."", ""The artifacts match the module goals and the covered node outputs."", ""The learner notes at least one improvement or next step based on review.""], ""passing_threshold"": ""All required evidence submitted; at least 3 of 4 rubric criteria marked Functional or better."", ""evidence_required"": [""claim-check worksheet"", ""source comparison note"", ""prompt pack"", ""source comparison brief""]}"
assessment.module.02,assessment,"{""assessment_type"": ""portfolio_review"", ""rubric"": [""Required artifacts are complete, legible, and usable by another person."", ""The learner can explain the key decisions, assumptions, and tradeoffs in plain language."", ""The artifacts match the module goals and the covered node outputs."", ""The learner notes at least one improvement or next step based on review.""], ""passing_threshold"": ""All required evidence submitted; at least 3 of 4 rubric criteria marked Functional or better."", ""evidence_required"": [""units cheat sheet"", ""conversion table"", ""household systems map"", ""dependency list"", ""household inventory sheet"", ""priority gap list""]}"
assessment.module.03,assessment,"{""assessment_type"": ""checklist"", ""rubric"": [""Each required item on the checklist is present and correctly labeled."", ""Core calculations or comparisons are internally consistent and match the worksheet."", ""A second person could follow the output without asking what the labels mean."", ""The learner identifies one item still needing verification or improvement.""], ""passing_threshold"": ""All critical checklist items passed and no critical field left blank."", ""evidence_required"": [""storage table"", ""container label set"", ""treatment decision matrix""]}"
assessment.module.04,assessment,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""water test log"", ""household water plan"", ""water source and storage map"", ""retest schedule""]}"
assessment.module.05,assessment,"{""assessment_type"": ""portfolio_review"", ""rubric"": [""Required artifacts are complete, legible, and usable by another person."", ""The learner can explain the key decisions, assumptions, and tradeoffs in plain language."", ""The artifacts match the module goals and the covered node outputs."", ""The learner notes at least one improvement or next step based on review.""], ""passing_threshold"": ""All required evidence submitted; at least 3 of 4 rubric criteria marked Functional or better."", ""evidence_required"": [""pantry map"", ""shopping gap list"", ""category labels"", ""rotation sheet"", ""reorder cadence"", ""preservation safety card""]}"
assessment.module.06,assessment,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""seed-start log"", ""germination setup"", ""garden layout"", ""crop plan"", ""care calendar""]}"
assessment.module.07,assessment,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""building-envelope diagram"", ""heat-loss note"", ""weatherization audit"", ""priority fix list"", ""room-by-room notes""]}"
assessment.module.08,assessment,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""moisture checklist"", ""source map"", ""response plan"", ""tool competency checklist"", ""starter tool list"", ""shutoff map"", ""patch kit list"", ""temporary repair notes""]}"
assessment.module.09,assessment,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""power formula card"", ""device label notes""]}"
assessment.module.10,assessment,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""load sheet"", ""critical load tiers"", ""device inventory"", ""runtime table"", ""assumption notes""]}"
assessment.module.11,assessment,"{""assessment_type"": ""portfolio_review"", ""rubric"": [""Required artifacts are complete, legible, and usable by another person."", ""The learner can explain the key decisions, assumptions, and tradeoffs in plain language."", ""The artifacts match the module goals and the covered node outputs."", ""The learner notes at least one improvement or next step based on review.""], ""passing_threshold"": ""All required evidence submitted; at least 3 of 4 rubric criteria marked Functional or better."", ""evidence_required"": [""backup power plan"", ""budget-tier comparison"", ""decision log"", ""local resource map"", ""contact and capability list"", ""sharing protocol notes""]}"
assessment.module.12,assessment,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""lesson plan"", ""one-page handout"", ""micro-session notes""]}"
