id,type,title,summary,plain_language,primary_domain,domains_json,stage,difficulty,estimated_hours,cost_band,risk_band,contexts_json,tags_json,requires_json,outputs_json,lifecycle_state,evidence_level,source_refs_json,version,updated_at,payload_json
module.01-truth-tools-and-ai,module,"Truth, Tools, and AI as Amplifier","Learn how to verify practical claims, use AI to compare sources, and record decisions with citations before acting.","This module teaches you how to check whether information is real, current, and useful before you act on it.",foundation,"[""foundation""]",foundation,2,4.0,free,low,"[""general"", ""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""curriculum"", ""week-01"", ""verification"", ""ai-literacy"", ""research""]",[],"[""claim-check worksheet"", ""source comparison note"", ""prompt pack"", ""source comparison brief""]",draft,compiled,[],1.0.0,2026-03-16,"{""week"": 1, ""node_refs"": [""foundation.verify-and-cite"", ""foundation.ai-grounded-research""], ""learning_objectives"": [""Evaluate a practical claim using source quality, date, evidence, and local applicability."", ""Use AI to summarize, compare, and critique sources without outsourcing judgment."", ""Produce a claim-check worksheet and a short cited recommendation note.""], ""seminar_outline"": [""Why bad decisions often start with unexamined claims"", ""Source types: primary, secondary, synthetic, anecdotal"", ""AI as translator, comparator, and critique partner"", ""Decision logging with citations and local constraints""], ""lab"": ""Compare one practical claim across at least three sources and document the result with a citation trail and clear action recommendation."", ""field_task"": ""Run the claim-check workflow on one household resilience question you currently care about and save the result for later modules."", ""teach_forward_task"": ""Teach another person the four-part claim check: who said it, when, with what evidence, and under what local conditions it applies."", ""deliverable_refs"": [""claim-check worksheet"", ""source comparison note"", ""prompt pack"", ""source comparison brief""], ""assessment_ref"": ""assessment.module.01"", ""delivery_profile"": {""seminar_minutes"": 75, ""lab_minutes"": 90, ""field_task_minutes"": 60, ""teach_forward_minutes"": 15}}"
module.02-measure-map-and-inventory,module,"Measure, Map, and Inventory","Convert vague household conditions into measured quantities, system maps, and a resilience inventory you can build on.",This module helps you see what your household depends on before something fails.,foundation,"[""foundation""]",foundation,2,4.25,low,low,"[""general"", ""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""curriculum"", ""week-02"", ""measurement"", ""systems-mapping"", ""inventory""]","[{""mode"": ""all_of"", ""ids"": [""module.01-truth-tools-and-ai""], ""n"": null}]","[""units cheat sheet"", ""conversion table"", ""household systems map"", ""dependency list"", ""household inventory sheet"", ""priority gap list""]",draft,compiled,[],1.0.0,2026-03-16,"{""week"": 2, ""node_refs"": [""foundation.measurement-and-units"", ""foundation.systems-mapping"", ""foundation.household-resilience-inventory""], ""learning_objectives"": [""Choose and convert the units needed for common household calculations."", ""Map inputs, outputs, dependencies, and failure points in a household system."", ""Create a baseline resilience inventory covering needs, tools, contacts, and gaps.""], ""seminar_outline"": [""Units as the language of planning"", ""System boundaries, dependencies, and failure points"", ""From inventory to priority setting"", ""How this baseline supports every later module""], ""lab"": ""Build a simple conversion sheet, sketch one household system, and turn the results into an initial resilience inventory."", ""field_task"": ""Complete a household resilience inventory covering water, food, power, heat, tools, contacts, and the most obvious vulnerabilities."", ""teach_forward_task"": ""Explain one system map to another household member and identify the first two weak links you both agree on."", ""deliverable_refs"": [""units cheat sheet"", ""conversion table"", ""household systems map"", ""dependency list"", ""household inventory sheet"", ""priority gap list""], ""assessment_ref"": ""assessment.module.02"", ""delivery_profile"": {""seminar_minutes"": 75, ""lab_minutes"": 90, ""field_task_minutes"": 75, ""teach_forward_minutes"": 15}}"
module.03-water-storage-and-treatment,module,Water I: Storage and Treatment,"Plan potable water quantities, storage intervals, and treatment choices using a household-specific decision process.",This module helps you decide how much water to store and how to make questionable water safer to use.,water,"[""water""]",household,2,3.83,low,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""curriculum"", ""week-03"", ""water"", ""storage"", ""treatment""]","[{""mode"": ""all_of"", ""ids"": [""module.01-truth-tools-and-ai"", ""module.02-measure-map-and-inventory""], ""n"": null}]","[""storage table"", ""container label set"", ""treatment decision matrix""]",draft,compiled,[],1.0.0,2026-03-16,"{""week"": 3, ""node_refs"": [""water.safe-storage"", ""water.treatment-selection""], ""learning_objectives"": [""Calculate daily and short-horizon household water needs in comparable units."", ""Compare treatment methods by source conditions, speed, cost, and limitations."", ""Build a practical storage table and treatment decision matrix for your context.""], ""seminar_outline"": [""How much water households actually need"", ""Storage intervals, containers, labeling, and rotation"", ""Treatment methods and where each does or does not fit"", ""Decision-making under cost and source constraints""], ""lab"": ""Estimate daily water demand, compare treatment options, and draft a storage table plus treatment decision matrix."", ""field_task"": ""Label current storage, identify the next storage increase that is feasible this month, and document the treatment path you would use for at least two source scenarios."", ""teach_forward_task"": ""Show another person how to read your treatment decision matrix and explain why one method is not universal."", ""deliverable_refs"": [""storage table"", ""container label set"", ""treatment decision matrix""], ""assessment_ref"": ""assessment.module.03"", ""delivery_profile"": {""seminar_minutes"": 70, ""lab_minutes"": 80, ""field_task_minutes"": 70, ""teach_forward_minutes"": 10}}"
module.04-water-testing-and-planning,module,Water II: Testing and Household Planning,Use simple household testing and planning steps to turn water storage and treatment choices into a 72-hour and 2-week plan.,"This module turns water ideas into a real plan you can check, update, and explain.",water,"[""water""]",household,2,4.17,low,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""curriculum"", ""week-04"", ""water"", ""testing"", ""planning""]","[{""mode"": ""all_of"", ""ids"": [""module.01-truth-tools-and-ai"", ""module.02-measure-map-and-inventory"", ""module.03-water-storage-and-treatment""], ""n"": null}]","[""water test log"", ""household water plan"", ""water source and storage map"", ""retest schedule""]",draft,compiled,[],1.0.0,2026-03-16,"{""week"": 4, ""node_refs"": [""water.basic-testing"", ""water.household-water-plan""], ""learning_objectives"": [""Run basic water testing or inspection steps and record the results clearly."", ""Convert storage, source, and treatment choices into a household water plan."", ""Explain when a plan should be retested, expanded, or revised.""], ""seminar_outline"": [""What basic household water tests can and cannot tell you"", ""Logging results, assumptions, and retest intervals"", ""Building 72-hour and 2-week water plans"", ""Source diversity, redundancy, and revision triggers""], ""lab"": ""Complete a sample test log and use it to draft a household water plan with source, storage, and retest assumptions."", ""field_task"": ""Create a 72-hour and 2-week household water plan using your actual storage, likely sources, and one retest schedule."", ""teach_forward_task"": ""Walk another person through your water plan and have them identify one assumption they would verify before relying on it."", ""deliverable_refs"": [""water test log"", ""household water plan"", ""water source and storage map"", ""retest schedule""], ""assessment_ref"": ""assessment.module.04"", ""delivery_profile"": {""seminar_minutes"": 70, ""lab_minutes"": 90, ""field_task_minutes"": 75, ""teach_forward_minutes"": 15}}"
module.05-pantry-rotation-and-preservation,module,"Food I: Pantry Design, Rotation, and Preservation Boundaries","Design a pantry around calories, shelf life, budget, and storage conditions, then add a clear rotation and preservation safety boundary.",This module helps you build food resilience without turning your pantry into clutter or guessing about preservation safety.,food,"[""food""]",household,2,4.25,low,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""apartment""]","[""curriculum"", ""week-05"", ""food"", ""pantry"", ""preservation""]","[{""mode"": ""all_of"", ""ids"": [""module.01-truth-tools-and-ai"", ""module.02-measure-map-and-inventory""], ""n"": null}]","[""pantry map"", ""shopping gap list"", ""category labels"", ""rotation sheet"", ""reorder cadence"", ""preservation safety card""]",draft,compiled,[],1.0.0,2026-03-16,"{""week"": 5, ""node_refs"": [""food.pantry-design"", ""food.pantry-rotation"", ""food.safe-preservation-basics""], ""learning_objectives"": [""Design a pantry layout around household needs, constraints, and likely gaps."", ""Set up a rotation and reorder cadence that prevents hidden waste."", ""Explain the safety boundaries of common preservation methods in plain language.""], ""seminar_outline"": [""Pantry design as a planning problem, not a shopping spree"", ""Shelf life, labeling, and reorder cadence"", ""Safe boundaries for freezing, drying, fermenting, and canning decisions"", ""Low-cost pantry improvements that matter first""], ""lab"": ""Sort foods by category and shelf life, draft a pantry map, and build a simple rotation sheet plus preservation safety card."", ""field_task"": ""Map your pantry, label one rotation cycle, and document one low-cost improvement you can make immediately."", ""teach_forward_task"": ""Show another person how your pantry rotation works and explain one preservation method you would not improvise."", ""deliverable_refs"": [""pantry map"", ""shopping gap list"", ""category labels"", ""rotation sheet"", ""reorder cadence"", ""preservation safety card""], ""assessment_ref"": ""assessment.module.05"", ""delivery_profile"": {""seminar_minutes"": 75, ""lab_minutes"": 90, ""field_task_minutes"": 75, ""teach_forward_minutes"": 15}}"
module.06-seed-starting-and-garden-planning,module,Food II: Seed Starting and Garden Planning,"Turn gardening from aspiration into a small, reliable production system using timing, setup, and a simple crop plan.",This module helps you start growing food in a way that is small enough to sustain and structured enough to learn from.,food,"[""food""]",productive,2,4.42,low,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""apartment""]","[""curriculum"", ""week-06"", ""food"", ""gardening"", ""seed-starting""]","[{""mode"": ""all_of"", ""ids"": [""module.02-measure-map-and-inventory""], ""n"": null}]","[""seed-start log"", ""germination setup"", ""garden layout"", ""crop plan"", ""care calendar""]",draft,compiled,[],1.0.0,2026-03-16,"{""week"": 6, ""node_refs"": [""food.seed-starting"", ""food.beginner-garden-system""], ""learning_objectives"": [""Start seeds with workable timing, medium, light, and moisture conditions."", ""Plan a small bed or container garden around space, season, and care capacity."", ""Translate garden goals into a layout, crop plan, and simple care calendar.""], ""seminar_outline"": [""What makes early garden attempts fail"", ""Seed starting setup, moisture, light, and timing"", ""Beds versus containers, crop choice, and season planning"", ""Designing for reliability instead of maximal ambition""], ""lab"": ""Build or simulate a germination setup and sketch a garden layout with crop timing and care needs."", ""field_task"": ""Start at least one crop or complete a full container or bed plan with dates, spacing, and care calendar entries."", ""teach_forward_task"": ""Explain your crop plan to another person and have them identify whether the plan matches your actual time and space."", ""deliverable_refs"": [""seed-start log"", ""germination setup"", ""garden layout"", ""crop plan"", ""care calendar""], ""assessment_ref"": ""assessment.module.06"", ""delivery_profile"": {""seminar_minutes"": 70, ""lab_minutes"": 90, ""field_task_minutes"": 90, ""teach_forward_minutes"": 15}}"
module.07-envelope-and-weatherization,module,Shelter I: Building Envelope and Weatherization,"Learn where homes lose heat and comfort, then audit drafts, leakage, and weatherization priorities room by room.","This module helps you understand how air, heat, and moisture move through a building so you can improve comfort and efficiency.",shelter,"[""shelter""]",household,2,4.17,low,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""cold_climate"", ""hot_climate""]","[""curriculum"", ""week-07"", ""shelter"", ""weatherization"", ""building-envelope""]","[{""mode"": ""all_of"", ""ids"": [""module.02-measure-map-and-inventory""], ""n"": null}]","[""building-envelope diagram"", ""heat-loss note"", ""weatherization audit"", ""priority fix list"", ""room-by-room notes""]",draft,compiled,[],1.0.0,2026-03-16,"{""week"": 7, ""node_refs"": [""shelter.building-envelope"", ""shelter.weatherization-audit""], ""learning_objectives"": [""Explain the basic relationship between heat flow, air leakage, and the building envelope."", ""Inspect a space for likely weatherization priorities using a repeatable audit method."", ""Rank fixes by impact, effort, and constraints.""], ""seminar_outline"": [""Heat, air, moisture, and why comfort is not one variable"", ""Where buildings commonly leak or lose performance"", ""Audit methods and prioritizing fixes"", ""Temporary versus durable weatherization choices""], ""lab"": ""Use a room-by-room worksheet to identify likely leakage points and draft a weatherization priority list."", ""field_task"": ""Complete a weatherization audit for one dwelling or one zone of a dwelling and record the first fixes worth testing."", ""teach_forward_task"": ""Walk another person through one room and explain what you would improve first and why."", ""deliverable_refs"": [""building-envelope diagram"", ""heat-loss note"", ""weatherization audit"", ""priority fix list"", ""room-by-room notes""], ""assessment_ref"": ""assessment.module.07"", ""delivery_profile"": {""seminar_minutes"": 75, ""lab_minutes"": 90, ""field_task_minutes"": 75, ""teach_forward_minutes"": 10}}"
module.08-moisture-tools-shutoffs-and-patching,module,"Repair I: Moisture, Tools, Shutoffs, and Patching","Combine moisture control, hand-tool literacy, and simple shutoff and sealing actions so small problems stop becoming bigger ones.","This module helps you act early on leaks, dampness, and small failures instead of waiting until they become expensive.",shelter,"[""shelter"", ""repair""]",household,2,4.42,low,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""cold_climate"", ""hot_climate""]","[""curriculum"", ""week-08"", ""repair"", ""moisture"", ""patching""]","[{""mode"": ""all_of"", ""ids"": [""module.01-truth-tools-and-ai"", ""module.02-measure-map-and-inventory"", ""module.07-envelope-and-weatherization""], ""n"": null}]","[""moisture checklist"", ""source map"", ""response plan"", ""tool competency checklist"", ""starter tool list"", ""shutoff map"", ""patch kit list"", ""temporary repair notes""]",draft,compiled,[],1.0.0,2026-03-16,"{""week"": 8, ""node_refs"": [""shelter.moisture-and-mold-control"", ""repair.hand-tool-literacy"", ""repair.shutoffs-seals-and-patches""], ""learning_objectives"": [""Identify common moisture sources and conditions that make mold more likely."", ""Use basic hand tools and household shutoffs with confidence and documentation."", ""Make simple seals, patches, and temporary repairs while recording what still needs a durable fix.""], ""seminar_outline"": [""Moisture sources, hidden persistence, and mold conditions"", ""Tool literacy as controlled, observable practice"", ""Shutoffs, leak response, and temporary fixes"", ""Documentation habits that make repair safer and repeatable""], ""lab"": ""Practice tool handling, locate shutoffs, and prepare a patch kit and response checklist for one likely household issue."", ""field_task"": ""Create a shutoff map, document one moisture source or risk area, and complete one seal or temporary patch that is appropriate for your space."", ""teach_forward_task"": ""Show another person where the key shutoffs are and what your first three actions would be in a small leak event."", ""deliverable_refs"": [""moisture checklist"", ""source map"", ""response plan"", ""tool competency checklist"", ""starter tool list"", ""shutoff map"", ""patch kit list"", ""temporary repair notes""], ""assessment_ref"": ""assessment.module.08"", ""delivery_profile"": {""seminar_minutes"": 70, ""lab_minutes"": 90, ""field_task_minutes"": 90, ""teach_forward_minutes"": 15}}"
module.09-circuit-basics-and-label-reading,module,Power I: Circuit Basics and Device Label Reading,"Build electrical literacy around volts, amps, watts, watt-hours, circuit limits, and what device labels actually tell you.","This module gives you enough electrical literacy to read labels, compare loads, and avoid obvious planning mistakes.",power,"[""power""]",household,2,3.67,free,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""curriculum"", ""week-09"", ""power"", ""electrical-literacy"", ""circuits""]","[{""mode"": ""all_of"", ""ids"": [""module.02-measure-map-and-inventory""], ""n"": null}]","[""power formula card"", ""device label notes""]",draft,compiled,[],1.0.0,2026-03-16,"{""week"": 9, ""node_refs"": [""power.circuit-basics""], ""learning_objectives"": [""Differentiate volts, amps, watts, and watt-hours in plain language."", ""Read device labels and identify what information matters for planning."", ""Explain why breaker limits, startup surges, and real-world usage complicate simple guesses.""], ""seminar_outline"": [""Power versus energy and why the distinction matters"", ""What device labels show and what they omit"", ""Circuit limits, startup surge, and duty cycle"", ""Common beginner mistakes in electrical planning""], ""lab"": ""Read labels from several devices, convert the numbers into comparable terms, and build a power formula card for later modules."", ""field_task"": ""Record labels for your most important devices and note any missing information or assumptions you still need to verify."", ""teach_forward_task"": ""Explain watts versus watt-hours to another person using one of your household devices as the example."", ""deliverable_refs"": [""power formula card"", ""device label notes""], ""assessment_ref"": ""assessment.module.09"", ""delivery_profile"": {""seminar_minutes"": 70, ""lab_minutes"": 75, ""field_task_minutes"": 60, ""teach_forward_minutes"": 15}}"
