id,type,title,summary,plain_language,primary_domain,domains_json,stage,difficulty,estimated_hours,cost_band,risk_band,contexts_json,tags_json,requires_json,outputs_json,lifecycle_state,evidence_level,source_refs_json,version,updated_at,payload_json
module.10-load-audit-and-runtime,module,Power II: Critical Loads and Runtime,Turn electrical literacy into an outage load audit and realistic runtime estimates based on actual priorities and assumptions.,This module helps you decide what must stay on during an outage and how long different power sources could support it.,power,"[""power""]",household,2,4.17,low,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""curriculum"", ""week-10"", ""power"", ""load-audit"", ""runtime""]","[{""mode"": ""all_of"", ""ids"": [""module.02-measure-map-and-inventory"", ""module.09-circuit-basics-and-label-reading""], ""n"": null}]","[""load sheet"", ""critical load tiers"", ""device inventory"", ""runtime table"", ""assumption notes""]",draft,compiled,[],1.0.0,2026-03-16,"{""week"": 10, ""node_refs"": [""power.load-audit"", ""power.runtime-calculation""], ""learning_objectives"": [""Separate essential, important, and optional loads for different outage durations."", ""Estimate runtime using consistent units, duty cycle, and efficiency assumptions."", ""Document the assumptions that most change your answer.""], ""seminar_outline"": [""Critical load thinking instead of whole-house fantasy"", ""Duty cycle, startup surge, and efficiency loss"", ""Runtime calculations with consistent units"", ""Recording assumptions and planning margins""], ""lab"": ""Create a critical load sheet and calculate runtime for at least two outage scenarios using one assumed power source."", ""field_task"": ""Audit your actual priority devices, assign outage tiers, and complete a runtime table that another person could read."", ""teach_forward_task"": ""Show another person how one incorrect assumption can make a backup plan fail and point to where you documented yours."", ""deliverable_refs"": [""load sheet"", ""critical load tiers"", ""device inventory"", ""runtime table"", ""assumption notes""], ""assessment_ref"": ""assessment.module.10"", ""delivery_profile"": {""seminar_minutes"": 70, ""lab_minutes"": 90, ""field_task_minutes"": 75, ""teach_forward_minutes"": 15}}"
module.11-backup-power-and-local-resource-map,module,Power III and Community Layer: Backup Planning and Local Resource Mapping,"Produce tiered backup power options and connect them to a local map of skills, tools, places, and shared assets.",This module helps you compare backup options realistically and then locate the people and resources nearby that increase resilience.,power,"[""power"", ""community""]",community,3,4.5,low,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""curriculum"", ""week-11"", ""power"", ""community"", ""backup-planning""]","[{""mode"": ""all_of"", ""ids"": [""module.01-truth-tools-and-ai"", ""module.02-measure-map-and-inventory"", ""module.10-load-audit-and-runtime""], ""n"": null}]","[""backup power plan"", ""budget-tier comparison"", ""decision log"", ""local resource map"", ""contact and capability list"", ""sharing protocol notes""]",draft,compiled,[],1.0.0,2026-03-16,"{""week"": 11, ""node_refs"": [""power.backup-power-plan"", ""community.local-resource-map""], ""learning_objectives"": [""Draft low-, mid-, and high-budget backup options matched to critical loads and runtime goals."", ""Compare backup options by capability, burden, and local constraints."", ""Map local skills, tools, spaces, and sources that matter during normal times and disruptions.""], ""seminar_outline"": [""Tiered backup planning instead of one-shot ideal purchases"", ""Tradeoffs: cost, maintenance, storage, fuel, noise, and constraints"", ""What belongs on a local resource map"", ""Privacy, permission, and useful coordination notes""], ""lab"": ""Build a budget-tier comparison for backup options and sketch a first-pass local resource map with contacts and capabilities."", ""field_task"": ""Complete one backup power plan and one local resource map using actual local constraints, contacts, and likely outage priorities."", ""teach_forward_task"": ""Explain to another person why your preferred backup tier fits your situation and point out two nearby resources that reduce isolation."", ""deliverable_refs"": [""backup power plan"", ""budget-tier comparison"", ""decision log"", ""local resource map"", ""contact and capability list"", ""sharing protocol notes""], ""assessment_ref"": ""assessment.module.11"", ""delivery_profile"": {""seminar_minutes"": 75, ""lab_minutes"": 90, ""field_task_minutes"": 90, ""teach_forward_minutes"": 15}}"
module.12-capstone-teach-forward,module,Capstone: Teach Forward and Archive the Capability,"Package one completed capability into a short, usable lesson with a durable handout so the knowledge can move beyond the individual learner.",This module turns private learning into public usefulness by asking you to teach one thing clearly and leave behind something others can reuse.,community,"[""community""]",community,2,4.5,free,low,"[""general"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""curriculum"", ""week-12"", ""community"", ""teaching"", ""capstone""]","[{""mode"": ""all_of"", ""ids"": [""module.01-truth-tools-and-ai""], ""n"": null}, {""mode"": ""n_of"", ""ids"": [""module.04-water-testing-and-planning"", ""module.05-pantry-rotation-and-preservation"", ""module.06-seed-starting-and-garden-planning"", ""module.07-envelope-and-weatherization"", ""module.11-backup-power-and-local-resource-map""], ""n"": 2}]","[""lesson plan"", ""one-page handout"", ""micro-session notes""]",draft,compiled,[],1.0.0,2026-03-16,"{""week"": 12, ""node_refs"": [""community.teach-forward-session""], ""learning_objectives"": [""Turn one completed capability into a short lesson with a clear promise, steps, and artifact."", ""Translate technical language into terms a general audience can follow."", ""Leave behind a handout, checklist, or map that remains useful without the instructor present.""], ""seminar_outline"": [""Why knowledge transfer is part of capability, not an optional extra"", ""Compressing a lesson into 3-minute and 10-minute forms"", ""Designing a handout that survives without the teacher"", ""Capturing revision notes for the next cohort""], ""lab"": ""Draft a 10–20 minute lesson plan, build a one-page handout, and rehearse the session with timing and feedback."", ""field_task"": ""Deliver a short teach-forward session or record a rehearsal, then revise the lesson based on the clarity gaps you notice."", ""teach_forward_task"": ""This module is itself the teach-forward action; gather one piece of feedback and use it to improve the handout or lesson sequence."", ""deliverable_refs"": [""lesson plan"", ""one-page handout"", ""micro-session notes""], ""assessment_ref"": ""assessment.module.12"", ""delivery_profile"": {""seminar_minutes"": 60, ""lab_minutes"": 90, ""field_task_minutes"": 90, ""teach_forward_minutes"": 30}}"
assessment.module.01,assessment,"Week 1 Assessment — Truth, Tools, and AI as Amplifier","Assessment bundle for Truth, Tools, and AI as Amplifier using artifacts, explanation, and where appropriate a short demonstration.","This assessment checks whether the learner can use and explain the work from Truth, Tools, and AI as Amplifier.",foundation,"[""foundation""]",foundation,2,0.5,free,low,"[""general"", ""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""assessment"", ""week-01"", ""portfolio-review"", ""verification"", ""ai-literacy"", ""research""]",[],"[""assessment scorecard"", ""evidence packet"", ""revision note""]",draft,compiled,[],1.0.0,2026-03-16,"{""assessment_type"": ""portfolio_review"", ""rubric"": [""Required artifacts are complete, legible, and usable by another person."", ""The learner can explain the key decisions, assumptions, and tradeoffs in plain language."", ""The artifacts match the module goals and the covered node outputs."", ""The learner notes at least one improvement or next step based on review.""], ""passing_threshold"": ""All required evidence submitted; at least 3 of 4 rubric criteria marked Functional or better."", ""evidence_required"": [""claim-check worksheet"", ""source comparison note"", ""prompt pack"", ""source comparison brief""]}"
assessment.module.02,assessment,"Week 2 Assessment — Measure, Map, and Inventory","Assessment bundle for Measure, Map, and Inventory using artifacts, explanation, and where appropriate a short demonstration.","This assessment checks whether the learner can use and explain the work from Measure, Map, and Inventory.",foundation,"[""foundation""]",foundation,2,0.5,free,low,"[""general"", ""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""assessment"", ""week-02"", ""portfolio-review"", ""measurement"", ""systems-mapping"", ""inventory""]",[],"[""assessment scorecard"", ""evidence packet"", ""revision note""]",draft,compiled,[],1.0.0,2026-03-16,"{""assessment_type"": ""portfolio_review"", ""rubric"": [""Required artifacts are complete, legible, and usable by another person."", ""The learner can explain the key decisions, assumptions, and tradeoffs in plain language."", ""The artifacts match the module goals and the covered node outputs."", ""The learner notes at least one improvement or next step based on review.""], ""passing_threshold"": ""All required evidence submitted; at least 3 of 4 rubric criteria marked Functional or better."", ""evidence_required"": [""units cheat sheet"", ""conversion table"", ""household systems map"", ""dependency list"", ""household inventory sheet"", ""priority gap list""]}"
assessment.module.03,assessment,Week 3 Assessment — Water I: Storage and Treatment,"Assessment bundle for Water I: Storage and Treatment using artifacts, explanation, and where appropriate a short demonstration.",This assessment checks whether the learner can use and explain the work from Water I: Storage and Treatment.,water,"[""water""]",household,2,0.5,free,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""assessment"", ""week-03"", ""checklist"", ""water"", ""storage"", ""treatment""]",[],"[""assessment scorecard"", ""evidence packet"", ""revision note""]",draft,compiled,[],1.0.0,2026-03-16,"{""assessment_type"": ""checklist"", ""rubric"": [""Each required item on the checklist is present and correctly labeled."", ""Core calculations or comparisons are internally consistent and match the worksheet."", ""A second person could follow the output without asking what the labels mean."", ""The learner identifies one item still needing verification or improvement.""], ""passing_threshold"": ""All critical checklist items passed and no critical field left blank."", ""evidence_required"": [""storage table"", ""container label set"", ""treatment decision matrix""]}"
assessment.module.04,assessment,Week 4 Assessment — Water II: Testing and Household Planning,"Assessment bundle for Water II: Testing and Household Planning using artifacts, explanation, and where appropriate a short demonstration.",This assessment checks whether the learner can use and explain the work from Water II: Testing and Household Planning.,water,"[""water""]",household,2,0.75,free,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""assessment"", ""week-04"", ""demo"", ""water"", ""testing"", ""planning""]",[],"[""assessment scorecard"", ""evidence packet"", ""revision note""]",draft,compiled,[],1.0.0,2026-03-16,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""water test log"", ""household water plan"", ""water source and storage map"", ""retest schedule""]}"
assessment.module.05,assessment,"Week 5 Assessment — Food I: Pantry Design, Rotation, and Preservation Boundaries","Assessment bundle for Food I: Pantry Design, Rotation, and Preservation Boundaries using artifacts, explanation, and where appropriate a short demonstration.","This assessment checks whether the learner can use and explain the work from Food I: Pantry Design, Rotation, and Preservation Boundaries.",food,"[""food""]",household,2,0.5,free,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""apartment""]","[""assessment"", ""week-05"", ""portfolio-review"", ""food"", ""pantry"", ""preservation""]",[],"[""assessment scorecard"", ""evidence packet"", ""revision note""]",draft,compiled,[],1.0.0,2026-03-16,"{""assessment_type"": ""portfolio_review"", ""rubric"": [""Required artifacts are complete, legible, and usable by another person."", ""The learner can explain the key decisions, assumptions, and tradeoffs in plain language."", ""The artifacts match the module goals and the covered node outputs."", ""The learner notes at least one improvement or next step based on review.""], ""passing_threshold"": ""All required evidence submitted; at least 3 of 4 rubric criteria marked Functional or better."", ""evidence_required"": [""pantry map"", ""shopping gap list"", ""category labels"", ""rotation sheet"", ""reorder cadence"", ""preservation safety card""]}"
assessment.module.06,assessment,Week 6 Assessment — Food II: Seed Starting and Garden Planning,"Assessment bundle for Food II: Seed Starting and Garden Planning using artifacts, explanation, and where appropriate a short demonstration.",This assessment checks whether the learner can use and explain the work from Food II: Seed Starting and Garden Planning.,food,"[""food""]",productive,2,0.75,free,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""apartment""]","[""assessment"", ""week-06"", ""demo"", ""food"", ""gardening"", ""seed-starting""]",[],"[""assessment scorecard"", ""evidence packet"", ""revision note""]",draft,compiled,[],1.0.0,2026-03-16,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""seed-start log"", ""germination setup"", ""garden layout"", ""crop plan"", ""care calendar""]}"
assessment.module.07,assessment,Week 7 Assessment — Shelter I: Building Envelope and Weatherization,"Assessment bundle for Shelter I: Building Envelope and Weatherization using artifacts, explanation, and where appropriate a short demonstration.",This assessment checks whether the learner can use and explain the work from Shelter I: Building Envelope and Weatherization.,shelter,"[""shelter""]",household,2,0.75,free,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""cold_climate"", ""hot_climate""]","[""assessment"", ""week-07"", ""demo"", ""shelter"", ""weatherization"", ""building-envelope""]",[],"[""assessment scorecard"", ""evidence packet"", ""revision note""]",draft,compiled,[],1.0.0,2026-03-16,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""building-envelope diagram"", ""heat-loss note"", ""weatherization audit"", ""priority fix list"", ""room-by-room notes""]}"
assessment.module.08,assessment,"Week 8 Assessment — Repair I: Moisture, Tools, Shutoffs, and Patching","Assessment bundle for Repair I: Moisture, Tools, Shutoffs, and Patching using artifacts, explanation, and where appropriate a short demonstration.","This assessment checks whether the learner can use and explain the work from Repair I: Moisture, Tools, Shutoffs, and Patching.",shelter,"[""shelter"", ""repair""]",household,2,0.75,free,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""cold_climate"", ""hot_climate""]","[""assessment"", ""week-08"", ""demo"", ""repair"", ""moisture"", ""patching""]",[],"[""assessment scorecard"", ""evidence packet"", ""revision note""]",draft,compiled,[],1.0.0,2026-03-16,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""moisture checklist"", ""source map"", ""response plan"", ""tool competency checklist"", ""starter tool list"", ""shutoff map"", ""patch kit list"", ""temporary repair notes""]}"
assessment.module.09,assessment,Week 9 Assessment — Power I: Circuit Basics and Device Label Reading,"Assessment bundle for Power I: Circuit Basics and Device Label Reading using artifacts, explanation, and where appropriate a short demonstration.",This assessment checks whether the learner can use and explain the work from Power I: Circuit Basics and Device Label Reading.,power,"[""power""]",household,2,0.75,free,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""assessment"", ""week-09"", ""demo"", ""power"", ""electrical-literacy"", ""circuits""]",[],"[""assessment scorecard"", ""evidence packet"", ""revision note""]",draft,compiled,[],1.0.0,2026-03-16,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""power formula card"", ""device label notes""]}"
assessment.module.10,assessment,Week 10 Assessment — Power II: Critical Loads and Runtime,"Assessment bundle for Power II: Critical Loads and Runtime using artifacts, explanation, and where appropriate a short demonstration.",This assessment checks whether the learner can use and explain the work from Power II: Critical Loads and Runtime.,power,"[""power""]",household,2,0.75,free,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""assessment"", ""week-10"", ""demo"", ""power"", ""load-audit"", ""runtime""]",[],"[""assessment scorecard"", ""evidence packet"", ""revision note""]",draft,compiled,[],1.0.0,2026-03-16,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""load sheet"", ""critical load tiers"", ""device inventory"", ""runtime table"", ""assumption notes""]}"
assessment.module.11,assessment,Week 11 Assessment — Power III and Community Layer: Backup Planning and Local Resource Mapping,"Assessment bundle for Power III and Community Layer: Backup Planning and Local Resource Mapping using artifacts, explanation, and where appropriate a short demonstration.",This assessment checks whether the learner can use and explain the work from Power III and Community Layer: Backup Planning and Local Resource Mapping.,power,"[""power"", ""community""]",community,3,0.5,free,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""assessment"", ""week-11"", ""portfolio-review"", ""power"", ""community"", ""backup-planning""]",[],"[""assessment scorecard"", ""evidence packet"", ""revision note""]",draft,compiled,[],1.0.0,2026-03-16,"{""assessment_type"": ""portfolio_review"", ""rubric"": [""Required artifacts are complete, legible, and usable by another person."", ""The learner can explain the key decisions, assumptions, and tradeoffs in plain language."", ""The artifacts match the module goals and the covered node outputs."", ""The learner notes at least one improvement or next step based on review.""], ""passing_threshold"": ""All required evidence submitted; at least 3 of 4 rubric criteria marked Functional or better."", ""evidence_required"": [""backup power plan"", ""budget-tier comparison"", ""decision log"", ""local resource map"", ""contact and capability list"", ""sharing protocol notes""]}"
assessment.module.12,assessment,Week 12 Assessment — Capstone: Teach Forward and Archive the Capability,"Assessment bundle for Capstone: Teach Forward and Archive the Capability using artifacts, explanation, and where appropriate a short demonstration.",This assessment checks whether the learner can use and explain the work from Capstone: Teach Forward and Archive the Capability.,community,"[""community""]",community,2,0.75,free,low,"[""general"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""assessment"", ""week-12"", ""demo"", ""community"", ""teaching"", ""capstone""]",[],"[""assessment scorecard"", ""evidence packet"", ""revision note""]",draft,compiled,[],1.0.0,2026-03-16,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""lesson plan"", ""one-page handout"", ""micro-session notes""]}"
