ID,Priority,Phase,Epic,Title,Owner,Effort,Dependencies,Files,New Files,Description,Acceptance Criteria
ARCH-001,P0,0,Architecture Contract,Freeze public answer contract and repo layout,Backend Lead + Frontend Lead,M (3-5d),,docs/ARCHITECTURE.md; docs/plans/WEBSITE_SCAFFOLD.md,docs/spec/public_ask_api.md; docs/spec/frontend_repo_layout.md,"Lock the public API and implementation posture before coding: keep /v1/retrieve/evidence_pack as operator/diagnostic, add /v1/public/ask for end users, and place the new interface in apps/site inside this repo so contracts evolve together.",Approved JSON request/response examples for /v1/public/ask; documented separation between public answer API and internal evidence-pack API; documented apps/site directory layout and ownership boundaries.
ING-001,P0,0,Ingestion Correctness,"Normalize lifecycle enum casing across ingest, validate, and seed",Data/Ingest,S (1-2d),ARCH-001,"src/capability_commons/cli/ingest/load.py:52-60; src/capability_commons/cli/ingest/validate.py:14-24,67-69; src/capability_commons/cli/seed.py:208-216; src/capability_commons/domain/enums.py:37-44",,"Current ingest/load code writes uppercase lifecycle values while domain enums are lowercase. Standardize ingest YAML, validation, and seed loading on canonical enum values.",--publish writes lifecycle_state: published; validator accepts canonical enum values from LifecycleState; seed_graph can round-trip published drafts without manual case fixes.
ING-002,P0,0,Ingestion Correctness,Implement true page-preserving parse output,Data/Ingest,M (3-5d),,src/capability_commons/cli/ingest/parse.py:11-108; src/capability_commons/cli/ingest/models.py:12-24,tests/fixtures/ingest/multipage_marker_output.json,Parse currently stamps every segment with the same base page. Capture actual page boundaries from marker output or page-by-page parsing so page_start/page_end are real.,Segments produced from a 3+ page source have correct page_start/page_end; page ranges survive JSONL output; tests cover headings that span multiple pages and sources without headings.
ING-003,P0,0,Ingestion Correctness,Make segment identifiers globally unique and preserve lineage from extract to cite,Data/Ingest,M (3-5d),ING-002,"src/capability_commons/cli/ingest/models.py:12-24,28-56; src/capability_commons/cli/ingest/parse.py:29-70; src/capability_commons/cli/ingest/extract.py:99-135; src/capability_commons/cli/ingest/draft.py:55-105; src/capability_commons/cli/ingest/cite.py:50-97",,"segment_id is currently reused per source and later keyed globally, which will collide in multi-source projects. Introduce a globally unique segment key and carry extracted segment IDs into drafted objects so the citation pass only sees the evidence that actually generated the object.",Multi-source ingest no longer overwrites segments in memory; extraction rows store globally unique segment references; drafts contain source_segment_ids (or equivalent); cite pass scopes candidate evidence to those segment references plus bounded neighbor context.
ING-004,P0,0,Ingestion Correctness,Enforce full canonical draft schema during Pass 2,Data/Ingest,M (3-5d),ING-003,src/capability_commons/cli/ingest/draft.py:70-107; src/capability_commons/cli/ingest/models.py; src/capability_commons/schemas/structured_data.py:17-127,src/capability_commons/cli/ingest/canonical_schema.py,"Pass 2 currently validates only id, slug, canonical_title, and markdown_body. Add a canonical draft model that requires co_type, plain_language, structured_data, requires, citations placeholder, and type-specific payload validation.",Draft pass fails fast on missing required fields; structured_data is validated by co_type before YAML is written; generated YAML conforms to a single canonical draft schema used later by validate/load.
ING-005,P0,0,Ingestion Correctness,Materialize merge and split decisions in canonicalization,Data/Ingest,M (3-5d),ING-004,src/capability_commons/cli/ingest/canonicalize.py:111-163; src/capability_commons/cli/ingest/models.py:82-88,,The canonicalize pass currently archives old drafts but does not write merged or split replacements. Expand the decision schema so merge/split actions emit concrete YAML objects and lineage metadata.,Merge writes a canonical replacement draft; split writes child drafts with new slugs; deprecated originals move to _merged/_split with lineage recorded in canonicalization_log.json.
GRAPH-001,P0,0,Graph Semantics,Normalize prerequisite and next-step edge direction semantics,Backend Lead,M (3-5d),ING-004,"src/capability_commons/cli/seed.py:97-117,276-305; src/capability_commons/cli/ingest/edges.py:14-37; src/capability_commons/retrieval/planner.py:7-84; src/capability_commons/graph/adapters/relational_graph.py:18-108; docs/ARCHITECTURE.md; expanded_seed/schema/ontology_v1.md",,"Current requires->PREREQUISITE_FOR loading is directionally confusing and will leak into graph UX, retrieval logic, and external consumers. Choose one canonical direction, document it, and update loaders/helpers/tests to enforce it.",One documented direction for PREREQUISITE_FOR and NEXT_STEP_FOR; seed/import code and graph traversal helpers follow the same direction; graph explorer labels and retrieval helpers return results consistent with the documented semantics.
SEED-001,P0,0,Load/Publish Path,Normalize edge-type imports from YAML suggested_edges and edges.csv,Backend,S (1-2d),GRAPH-001,"src/capability_commons/cli/seed.py:58-65,306-343,394-445; src/capability_commons/domain/enums.py:130-155",,"Seed loading currently understands legacy uppercase CSV edge names and separately tries EdgeType(edge_type_str.upper()) for YAML, which rejects canonical lowercase enum values. Introduce a single normalization helper that accepts both legacy seed names and canonical enum names.",Loader accepts REQUIRES/NEXT/COVERS as well as prerequisite_for/builds_on/contains; unknown edge types fail clearly with file/row context; suggested_edges from ingest are not silently skipped.
SEED-002,P0,0,Load/Publish Path,Add metadata_json to EvidenceSpan and persist citation provenance,Backend + Data/Ingest,M (3-5d),ING-003,src/capability_commons/db/models.py:298-318; src/capability_commons/cli/seed.py:345-390; src/capability_commons/services/evidence.py,alembic/versions/202603xx_000x_evidence_span_metadata.py,"Seed loading writes metadata_json to EvidenceSpan but the ORM model lacks that field. Add a JSONB metadata column to persist claim_id, claim_text, source segment reference, support strength, and page range.",EvidenceSpan stores claim/support metadata in JSONB; seed_graph writes page_start/page_end and source segment reference without error; evidence APIs can read the new metadata for rendering/debugging.
PUB-001,P0,0,Load/Publish Path,Make ingest-loaded published content trigger indexing and embeddings,Backend + Platform,M (3-5d),"SEED-001,SEED-002",src/capability_commons/cli/seed.py:208-249; src/capability_commons/cli/worker.py:15-118; src/capability_commons/search/indexer.py:36-68; src/capability_commons/services/registry.py:281-306,,"seed_graph directly sets current_version_id/published_at, bypassing the same outbox-driven indexing path used by RegistryService.publish_version(). Refactor the load path so published ingest content is reindexed and embedded automatically.",Published objects created by ingest produce version.published or equivalent indexing events; content_segments are created for new published versions; embeddings are generated when OPENAI_API_KEY is configured.
QA-001,P0,0,Validation & QA,Harden ingestion validation and make it schema-aware,Data/Ingest + QA,M (3-5d),"ING-004,SEED-001,SEED-002",src/capability_commons/cli/ingest/validate.py:14-110; src/capability_commons/schemas/structured_data.py:130-142; src/capability_commons/domain/enums.py,,"Validate should become the release gate for ingest. Add checks for canonical draft schema, structured_data per type, edge type validity, citation/source/segment existence, duplicate slugs, page ranges, and minimum citation coverage thresholds.","validate fails on malformed structured_data, orphaned citations, duplicate slugs, invalid edge types, or missing source segments; warnings vs errors are documented; validation output is stable enough to use in CI."
API-SEC-001,P0,0,Security & Access,Protect retrieval run detail endpoints and keep run internals non-public,Backend,S (1-2d),ARCH-001,src/capability_commons/api/routes/retrieval.py:30-39; src/capability_commons/api/deps.py:31-62; src/capability_commons/db/models.py:397-437,,GET /retrieval_runs/{run_id} and /steps currently have no workspace or auth check. Make them operator-only and scoped to the caller’s workspace.,"Run detail endpoints require authenticated workspace access; callers cannot fetch retrieval traces from another workspace; public answer endpoints expose only the public answer payload, not internal run details."
TEST-001,P0,0,Validation & QA,Add regression tests for the ingest correctness fixes,QA + Data/Ingest,M (3-5d),"ING-001,ING-002,ING-003,ING-004,ING-005,SEED-001,SEED-002,PUB-001,QA-001,API-SEC-001",tests/test_ingest_parse.py; tests/test_ingest_passes.py; tests/test_ingest_load.py; tests/test_seed.py; tests/test_worker.py; tests/test_auth_wiring.py,tests/fixtures/ingest/two_source_project/*,"Backfill the gaps the current test suite misses: multi-source segment collisions, lifecycle casing, canonicalization materialization, evidence span metadata persistence, publish/index parity, and retrieval run access control.",All new regressions have automated tests; multi-source ingest fixture passes end-to-end through load; worker and seed tests assert search/index side effects.
SEARCH-001,P1,1,Retrieval Quality,Implement real hybrid candidate union (lexical + vector),Search/Retrieval,L (1-2w),PUB-001,src/capability_commons/search/adapters/postgres_search.py:34-179; src/capability_commons/services/embedding.py:52-88; src/capability_commons/schemas/search.py:11-36,tests/test_search_adapter.py,"search_hybrid currently reranks only FTS hits, so vector search cannot rescue recall. Build a union candidate pool from FTS and vector search, fuse the ranks/scores, and return stable debug metadata.","Vector-only relevant documents can surface even when FTS misses; hybrid search returns a merged candidate set with consistent ordering; tests cover FTS-only, vector-only, and mixed recall scenarios."
SEARCH-002,P1,1,Retrieval Quality,"Index implementation fields, not just markdown_body",Search/Retrieval,M (3-5d),CONTENT-001,src/capability_commons/search/indexer.py:13-68; src/capability_commons/schemas/structured_data.py; src/capability_commons/publication/service.py,src/capability_commons/search/segment_serializer.py,"The search indexer currently chunks only markdown_body/plain_language. Serialize important structured_data fields (tools, materials, success criteria, variants, stop conditions, escalation guidance) into retrieval text so implementation queries recall better.",Generated content segments include normalized implementation fields; retrieval for tool/material/debug queries improves on the gold set; metadata_json on segments records which fields were serialized.
RET-001,P1,1,Retrieval Quality,Use hybrid search from RetrievalService.execute_plan,Search/Retrieval,S (1-2d),SEARCH-001,src/capability_commons/retrieval/service.py:80-97; src/capability_commons/api/routes/retrieval.py:15-27,,The retrieval path still calls search() instead of search_hybrid(). Embed the query during execute_plan and use the hybrid adapter so public answers and evidence packs use the best retrieval path.,execute_plan uses query embeddings when configured; retrieval logs include whether hybrid or lexical fallback was used; top evidence differs when vector recall matters.
RET-002,P1,1,Retrieval Quality,Feed graph-expanded candidates into rerank and evidence assembly,Search/Retrieval,M (3-5d),"GRAPH-001,RET-001","src/capability_commons/retrieval/service.py:98-148,204-372; src/capability_commons/graph/adapters/relational_graph.py:18-108",,"Graph expansion is computed today but discarded before rerank. Resolve graph-expanded version IDs into candidates, weight them by edge type and hop distance, and let them compete in final ranking.",Neighbor nodes can enter the final evidence pack even if they were not in the original search hits; graph contribution is visible in run diagnostics; learn-path/debug intents show graph-aware improvements on the gold set.
RET-003,P1,1,Retrieval Quality,Add score breakdowns and retrieval diagnostics,Search/Retrieval,M (3-5d),"SEARCH-001,RET-002",src/capability_commons/retrieval/service.py:204-372; src/capability_commons/schemas/retrieval.py:42-101; src/capability_commons/schemas/search.py:20-36,,"Expose lexical score, vector score, graph bonus, review bonus, citation bonus, and facet bonus in run diagnostics so the team can tune relevance without guessing.",SearchHit/EvidenceNode optionally include score_breakdown; retrieval step outputs capture candidate source counts and blended scores; tuning can be performed from logs without adding debug prints.
SEARCH-003,P1,1,Retrieval Quality,Replace raw facet_filters-only public search contract with UX-oriented filters,Backend,M (3-5d),ARCH-001,src/capability_commons/schemas/search.py:11-18; src/capability_commons/api/routes/search.py:17-33; src/capability_commons/search/adapters/postgres_search.py:34-96; docs/plans/WEBSITE_SCAFFOLD.md:401-425,,"The website scaffold expects stage, difficulty, budget, beginner-safe, and context filters, but the current API only exposes raw facet_filters plus object_types. Add a public-friendly filter model and map it internally to facets/columns.","SearchRequest supports stage, difficulty range, cost_band, risk_band, beginner_safe, housing_type, climate, and experience; /v1/search still supports internal facet_filters for operators or maps both contracts cleanly."
EVAL-001,P1,1,Validation & QA,Build a gold-query evaluation harness for search and ask,QA + Search/Retrieval,M (3-5d),"RET-001,RET-002,RET-003,SEARCH-003",tests/test_integration.py; tests/test_planner.py,tests/evals/gold_queries.yaml; tests/evals/test_retrieval_eval.py,"Create a small benchmark of real user tasks like water outage, small solar, renter-safe food resilience, and debugging failure modes. Use it as a release gate for ranking and answer quality.",Gold set includes expected slugs and minimum citation expectations; CI can run the evaluation in mocked and integration modes; release checklist references the eval results.
API-001,P1,2,Public Answer Layer,Add a public workspace resolver for search and ask,Backend,M (3-5d),"ARCH-001,API-SEC-001",src/capability_commons/api/deps.py:31-67; src/capability_commons/api/routes/search.py:17-33; src/capability_commons/api/routes/retrieval.py:15-27; src/capability_commons/api/rate_limit.py:27-41; src/capability_commons/db/models.py:66-79,,"Search and retrieve are designed as public routes in docs, but currently require a workspace header or bearer key. Add a dependency that resolves an authenticated workspace when present or falls back to the default public workspace for anonymous users.",Anonymous requests can use /v1/search and /v1/public/ask against the public workspace; authenticated requests still resolve their private workspace; rate limiting treats these routes as public when no API key is present.
API-002,P1,2,Public Answer Layer,Create POST /v1/public/ask with a public-friendly response shape,Backend,M (3-5d),"ARCH-001,API-001,RET-005",src/capability_commons/api/routes/public.py:13-46; src/capability_commons/api/routes/retrieval.py:15-27; src/capability_commons/schemas/retrieval.py:29-101,src/capability_commons/api/routes/public_ask.py,"Introduce a public endpoint dedicated to end-user answers. Keep the existing evidence-pack API for operators and evaluators, and return a structured, implementation-oriented answer payload from /v1/public/ask.",Public ask endpoint exists and is unauthenticated for public workspace use; response shape matches the approved contract in docs/spec/public_ask_api.md; internal evidence-pack route remains available for debugging/evaluation.
RET-004,P1,2,Public Answer Layer,Support intent auto-detection and optional intent selection,Search/Retrieval,M (3-5d),"ARCH-001,RET-001",src/capability_commons/schemas/retrieval.py:29-40; src/capability_commons/retrieval/planner.py:67-84; src/capability_commons/retrieval/service.py; docs/plans/WEBSITE_SCAFFOLD.md:421-425,src/capability_commons/retrieval/intent_classifier.py,"The current API requires intent from the client, which is too technical for general users. Make intent optional, infer it from the query + context, and preserve explicit override when the UI provides one.",RetrievalRequest accepts intent=None or intent='auto'; service stores both requested_intent and resolved_intent; public ask works with plain text queries and no intent selector.
CONTENT-001,P1,2,Implementation Readiness,Extend structured_data with implementation profile fields,Backend + Content,L (1-2w),ING-004,src/capability_commons/schemas/structured_data.py:17-127; src/capability_commons/schemas/objects.py:51-103; src/capability_commons/cli/ingest/draft.py:15-34; src/capability_commons/cli/seed.py:154-166,,"The current object model is still document-like. Add optional implementation profile fields such as smallest_viable_version, preflight_checks, tools/materials tiers, estimated time/cost, success checks, stop conditions, common mistakes, variants, and when to escalate to a professional.",Structured data models validate the new fields without breaking existing objects; draft prompt requests the fields; seed/load/public APIs preserve them; content team has a documented backfill order for existing seed objects.
RET-005,P1,2,Public Answer Layer,Build a structured answer composer on top of evidence packs,Search/Retrieval,L (1-2w),"RET-002,RET-003,RET-004,CONTENT-001",src/capability_commons/retrieval/service.py:250-303; src/capability_commons/schemas/retrieval.py:92-101,src/capability_commons/retrieval/answer_composer.py,"Shift from returning only ranked objects to returning implementation-ready help: direct answer, action_now, implementation_plan, safety boundaries, comparison buckets, uncertainties, and related objects. Start with deterministic composition from evidence + structured data, then optionally add grounded LLM synthesis behind the same contract.","Answer payload includes answer, action_now, implementation_plan, safety, citations, related_objects, and uncertainties; every action step is traceable to evidence or structured_data; output degrades gracefully when evidence is thin."
RET-006,P1,2,Public Answer Layer,Add conversation memory and follow-up state,Backend + Search/Retrieval,L (1-2w),"API-002,RET-005",src/capability_commons/db/models.py:397-437; src/capability_commons/schemas/retrieval.py; src/capability_commons/retrieval/service.py; src/capability_commons/api/routes/public_ask.py,alembic/versions/202603xx_000x_retrieval_conversations.py; src/capability_commons/retrieval/conversation_store.py,"Support multi-turn follow-up without forcing users to restate context. Persist conversation_id, user context, previous answer summaries, and chosen filters so the next query can refine rather than restart.",Public ask accepts optional conversation_id; follow-up questions can reuse earlier context and top evidence; stored conversation state can be expired or deleted without affecting published knowledge.
PUB-002,P1,2,Public Answer Layer,Enrich public object responses with implementation-profile projections,Backend,M (3-5d),CONTENT-001,src/capability_commons/publication/service.py:99-145; src/capability_commons/schemas/public.py:10-28,,Project implementation-ready fields into the public API so the site can render action cards and object pages without re-deriving them client-side.,"PublicObjectResponse includes an implementation_profile (or equivalent); bundle/object endpoints expose tools, materials, time, cost, success checks, stop conditions, and variants in a UI-friendly shape."
FE-001,P1,3,Public Interface,Scaffold the public site in apps/site,Frontend,L (1-2w),ARCH-001,,apps/site/package.json; apps/site/astro.config.mjs; apps/site/src/pages/index.astro; apps/site/src/pages/ask.astro; apps/site/src/pages/search.astro; apps/site/src/lib/api.ts; apps/site/src/lib/types.ts; apps/site/src/styles/tokens.css,"The archive does not contain the actual frontend implementation, only scaffolding docs. Create the site workspace in this repo and wire the baseline pages and API client around the approved public contracts.","apps/site builds locally and in CI; env-based API base URL is configurable; baseline pages for home, ask, search, explore, and bundle routes exist."
FE-002,P1,3,Public Interface,Implement Guided Ask with optional intent and context capture,Frontend,L (1-2w),"FE-001,API-002,RET-004,RET-005",,apps/site/src/components/AskComposer.tsx; apps/site/src/components/ContextPanel.tsx; apps/site/src/components/IntentSelector.tsx; apps/site/src/components/ProblemStarters.tsx,"Build the chat entry flow around ordinary language, not a blank box. Include starter prompts, optional intent selector, context panel (housing, climate, budget, experience), and follow-up support.",User can ask with or without intent selection; context choices are sent to /v1/public/ask; starter prompts are visible on first load; follow-up questions reuse conversation_id.
FE-003,P1,3,Public Interface,Build problem-first search and beginner-safe filtering,Frontend,M (3-5d),"FE-001,SEARCH-003,API-001",,apps/site/src/components/SearchFilters.tsx; apps/site/src/components/SearchResults.tsx; apps/site/src/components/ResultCard.tsx,"Implement the /search experience from WEBSITE_SCAFFOLD.md with filters ordinary people understand: domain, stage, difficulty, budget, beginner-safe, housing type, and settlement profile.",Search page renders results from /v1/search; filters map to the new public search contract; empty state offers task-oriented example prompts.
FE-004,P1,3,Public Interface,"Render action cards, citation drawer, contradiction warnings, and related objects",Frontend,L (1-2w),"FE-002,RET-005,PUB-002",,apps/site/src/components/AnswerCard.tsx; apps/site/src/components/ImplementationPlan.tsx; apps/site/src/components/CitationDrawer.tsx; apps/site/src/components/ContradictionNotice.tsx; apps/site/src/components/RelatedObjectCards.tsx,"Turn structured answers into something usable: action-now summary, step cards, materials/tools, citations with excerpts, contradiction notices, and links to deeper object pages.",Every answer shows direct answer + action_now above citations; citations can be expanded without leaving the page; contradiction/gap blocks render only when present; related objects link to /explore/{slug}.
FE-005,P2,3,Public Interface,Add print/offline action-card views,Frontend,M (3-5d),"FE-004,PUB-002",,apps/site/src/components/PrintView.tsx; apps/site/src/styles/print.css,"Make answers useful in the field. Support print-friendly action cards and offline-save views for guides people will actually use while building, repairing, or troubleshooting.","Object and answer views have print styles; saved/print views remove chat chrome and preserve implementation plan, materials, safety notes, and citations."
FE-006,P2,3,Public Interface,"Add answer feedback, field-report capture, and analytics events",Frontend + Backend,M (3-5d),"FE-004,OBS-001",,apps/site/src/components/AnswerFeedback.tsx; apps/site/src/lib/analytics.ts; src/capability_commons/api/routes/feedback.py,"Instrument the interface so the team can learn which answers were useful, confusing, or unsafe. Start with thumbs up/down, ‘used this’, and ‘report issue’ hooks tied to retrieval run or answer IDs.","Frontend emits feedback events for answer viewed, printed, copied, and rated; backend stores feedback against answer/run/object identifiers; team can query basic answer-quality signals."
ING-007,P2,4,Operational Scale,Move ingest orchestration from filesystem-only to DB-backed jobs and review queues,Platform + Data/Ingest,L (1-2w),"QA-001,TEST-001",src/capability_commons/db/models.py; src/capability_commons/api/routes/reviews.py; src/capability_commons/cli/ingest/project.py,alembic/versions/202603xx_000x_ingest_jobs.py; src/capability_commons/ingest/jobs.py; src/capability_commons/ingest/review_queue.py,"For contributor scale, filesystem folders are not enough. Add database-backed ingest_jobs, ingest_artifacts, and ingest_reviews while preserving YAML export/import for openness and version control.","Ingest runs are tracked in DB with status, artifact references, reviewer assignments, and pass timestamps; operators can inspect job status without reading local folders; YAML export remains supported."
SAFE-001,P2,4,Operational Scale,Create publish gates and safety review workflow for higher-risk content,Backend + Content + QA,M (3-5d),"ING-007,CONTENT-001",src/capability_commons/services/registry.py:281-306; src/capability_commons/api/routes/reviews.py; src/capability_commons/publication/service.py,src/capability_commons/services/publish_gate.py,"Before public launch, anything high-risk or professional-required needs explicit review gates. Add rule-based publish checks and a manual review state for objects with high risk, missing safety boundary, or unresolved contradictions.",Publishing is blocked when safety gates fail; risk_band high/expert_only requires explicit review outcome; public endpoints expose only objects that passed the publish gate.
OBS-001,P2,4,Operational Scale,Add dashboards and metrics for ingest quality and public answer quality,Platform + QA,M (3-5d),"RET-003,FE-006,ING-007",src/capability_commons/api/logging_middleware.py; src/capability_commons/cli/worker.py; src/capability_commons/retrieval/service.py,docs/spec/metrics.md,"Instrument the system around the outcomes that matter: ingest success, citation precision, answer usefulness, print/save rate, and public latency. Add dashboards or at least structured metric definitions so launch decisions are evidence-based.","Metrics document defines query latency, answer usefulness, citation coverage, validation failure rate, and print/save rate; logs or Prometheus metrics expose those signals; launch checklist references target thresholds."
PERF-001,P2,4,Operational Scale,Cache popular public search and ask responses,Backend + Platform,M (3-5d),"API-002,RET-005,API-001",src/capability_commons/api/routes/search.py; src/capability_commons/api/routes/public_ask.py; src/capability_commons/config.py,src/capability_commons/services/public_cache.py,Public traffic will cluster around common problems. Cache normalized /v1/search and /v1/public/ask responses by query + context profile so the system is fast and cheap for repeat lookups.,"Cache key includes normalized query, resolved intent, and context profile; stale invalidation is tied to publish/deprecate events; cache hit/miss is visible in logs/metrics."
DOC-001,P2,4,Operational Scale,"Update operator docs, status docs, and launch runbooks to match the real implementation",Backend Lead + PM/TPM,S (1-2d),"ARCH-001,API-002,ING-007",STATUS.md; TODO.md; ingestion/README.md; docs/ARCHITECTURE.md; docs/plans/WEBSITE_SCAFFOLD.md,docs/runbooks/public_launch.md; docs/runbooks/ingest_review.md,"The repo docs currently overstate some completed areas and under-document the new public answer flow. Refresh the docs so onboarding, launch checks, and contributor expectations match the shipped system.","Docs accurately describe the current backend, the new apps/site workspace, public vs operator endpoints, ingest review flow, and launch checklist; outdated ‘production-ready’ claims are removed or re-scoped."
